edit_decision_id	article_id	round	editor_id	decision	date_decided
1	2	1	4	1	2007-01-28 21:05:58
54	17	1	10	1	2008-07-03 21:20:12
56	41	1	5	3	2008-07-23 14:20:33
58	11	1	35	3	2008-07-23 15:10:45
57	74	1	5	4	2008-07-23 14:29:08
55	74	1	2	4	2008-07-14 17:06:28
11	9	1	31	2	2007-11-29 13:43:08
12	10	1	10	1	2007-11-29 15:34:15
13	9	1	31	3	2007-12-13 09:36:55
14	24	1	10	1	2008-01-15 20:28:23
15	15	1	10	1	2008-02-02 06:12:51
16	58	1	10	4	2008-02-13 21:02:44
17	35	1	10	2	2008-02-18 05:56:06
18	43	1	10	2	2008-02-22 21:53:55
19	43	1	10	1	2008-02-26 22:29:03
20	9	2	31	2	2008-03-05 07:47:26
21	14	1	31	2	2008-03-05 07:52:09
22	14	1	31	1	2008-03-05 21:42:16
23	9	2	31	1	2008-03-20 07:44:53
24	9	2	31	1	2008-03-20 07:45:44
25	53	1	23	2	2008-03-28 15:18:49
26	12	1	31	2	2008-03-29 19:44:57
47	40	1	10	3	2008-06-02 15:48:43
28	12	1	31	1	2008-04-03 09:06:47
29	61	1	6	1	2008-04-08 18:28:08
30	62	1	6	1	2008-04-08 19:17:32
31	35	1	10	1	2008-04-29 06:21:48
32	20	1	10	2	2008-05-01 06:58:19
33	27	1	31	4	2008-05-04 21:52:39
34	16	1	2	2	2008-05-07 16:10:15
35	20	1	10	1	2008-05-09 21:29:26
36	13	1	10	2	2008-05-13 12:15:12
37	19	1	2	2	2008-05-13 17:22:17
38	16	1	2	2	2008-05-13 17:28:36
39	19	1	2	2	2008-05-13 17:31:54
40	18	1	2	1	2008-05-13 21:54:22
41	51	1	10	2	2008-05-15 12:15:31
42	13	1	10	1	2008-05-21 19:56:05
43	16	1	2	1	2008-05-22 16:11:29
44	61	1	6	4	2008-05-24 00:38:45
45	62	1	6	4	2008-05-24 00:39:35
46	51	1	10	1	2008-05-28 00:13:41
48	45	1	31	2	2008-06-11 12:22:47
49	41	1	2	2	2008-06-15 10:44:17
50	41	1	2	2	2008-06-15 10:48:04
51	53	1	23	1	2008-06-24 13:42:48
52	61	1	2	4	2008-07-01 13:55:03
53	47	1	10	2	2008-07-01 22:06:44
59	11	1	35	4	2008-07-23 15:11:31
60	11	1	35	3	2008-07-23 15:18:09
61	73	1	31	4	2008-07-23 20:14:17
62	33	1	31	4	2008-07-23 20:45:57
63	33	1	31	4	2008-07-23 20:46:50
64	62	1	5	3	2008-07-25 14:54:27
65	62	1	5	4	2008-07-25 14:58:45
66	21	1	31	2	2008-08-01 08:42:30
67	19	1	2	3	2008-08-03 19:26:46
68	65	1	10	2	2008-08-03 23:56:52
69	78	1	2	4	2008-08-16 11:09:44
70	49	1	31	2	2008-08-17 09:50:03
71	26	1	10	1	2008-08-18 12:01:07
72	81	1	2	1	2008-08-19 00:13:02
73	83	1	6	1	2008-08-22 00:57:06
74	83	1	6	1	2008-08-22 00:58:02
75	80	1	2	2	2008-08-23 07:19:03
76	84	1	10	4	2008-08-28 12:01:17
77	31	1	10	2	2008-09-04 15:56:36
78	45	1	31	1	2008-09-08 17:49:55
79	11	1	35	1	2008-09-11 10:36:37
80	71	1	23	1	2008-10-02 15:04:25
81	54	1	35	2	2008-10-02 16:25:48
82	34	1	35	3	2008-10-05 02:10:07
83	23	1	31	2	2008-10-13 09:37:15
84	91	1	10	2	2008-10-14 11:51:18
85	25	1	10	2	2008-10-31 11:26:57
86	23	1	31	3	2008-11-01 13:57:23
87	91	1	10	1	2008-11-04 12:16:09
88	80	1	2	1	2008-11-04 13:01:22
89	88	1	2	2	2008-11-04 16:20:34
90	25	1	10	1	2008-11-04 17:01:38
91	65	1	10	1	2008-11-04 17:02:18
92	66	1	10	1	2008-11-04 17:02:52
93	49	1	31	3	2008-11-13 14:43:42
94	49	1	31	3	2008-11-13 14:44:12
95	29	1	31	2	2008-11-13 17:36:53
96	79	1	2	2	2008-11-16 19:58:38
97	19	2	2	2	2008-11-17 23:14:43
98	23	2	31	2	2008-11-21 07:24:16
99	23	2	31	1	2008-11-21 15:23:59
100	19	2	2	1	2008-11-24 18:17:59
101	41	2	2	1	2008-11-25 07:00:32
102	31	1	10	1	2008-11-25 20:56:35
103	69	1	2	2	2008-12-07 06:47:04
104	37	1	10	2	2008-12-07 21:35:04
105	49	2	31	1	2008-12-09 13:51:24
106	72	1	2	1	2008-12-19 22:35:30
107	50	1	2	1	2008-12-19 22:55:32
108	79	1	2	1	2008-12-23 16:07:19
109	69	1	2	1	2008-12-23 23:46:39
110	96	1	2	1	2008-12-29 14:14:01
111	75	1	2	1	2009-01-01 22:02:07
112	93	1	2	1	2009-01-02 15:39:24
113	29	1	31	3	2009-01-05 09:24:54
114	68	1	23	2	2009-01-08 16:47:05
115	30	1	23	2	2009-01-08 17:10:04
116	92	1	10	2	2009-01-12 21:25:52
117	76	1	2	2	2009-01-13 21:16:37
118	88	1	6	1	2009-01-15 15:20:28
119	70	1	23	2	2009-01-20 12:20:41
120	68	1	23	1	2009-01-20 12:27:28
121	73	1	31	2	2009-01-26 19:32:51
122	70	1	23	1	2009-01-28 09:34:44
123	87	1	35	1	2009-01-30 20:54:40
124	54	1	35	3	2009-01-30 21:06:37
125	37	1	10	1	2009-02-03 16:16:18
126	62	1	6	1	2009-02-05 10:12:21
127	62	1	6	4	2009-02-05 10:13:41
128	62	1	6	2	2009-02-05 19:17:35
129	30	1	23	1	2009-02-12 19:25:47
130	29	2	31	1	2009-02-16 15:54:06
