issue_id	journal_id	volume	number	year	published	current	date_published	date_notified	access_status	open_access_date	show_volume	show_number	show_year	show_title	style_file_name	original_style_file_name	last_modified
5	1	1	1	2008	1	0	2008-06-15 00:00:00	2008-08-22 02:15:52	1	2008-06-15 00:00:00	1	1	1	0	NULL	NULL	2018-08-21 16:53:59
6	1	1	2	2008	1	0	2008-08-22 00:00:00	2008-12-31 18:15:03	1	2008-08-21 00:00:00	1	1	1	0	NULL	NULL	2018-08-21 18:15:00
8	1	2	1	2009	1	0	2009-01-15 00:00:00	NULL	1	2009-01-15 00:00:00	1	1	1	0	NULL	NULL	2018-08-21 14:37:03
9	1	2	2	2009	1	0	2009-09-06 00:00:00	2009-12-24 17:38:39	1	2009-09-06 00:00:00	1	1	1	0	NULL	NULL	2018-08-21 15:48:56
10	1	3	1	2010	1	0	2009-12-24 00:00:00	NULL	1	2009-12-24 00:00:00	1	1	1	0	NULL	NULL	2018-08-21 13:45:12
11	1	3	2	2010	1	0	2010-08-12 00:00:00	NULL	1	2010-08-12 00:00:00	1	1	1	0	NULL	NULL	2018-08-21 13:50:00
13	1	4	1	2011	1	0	2010-08-23 00:00:00	NULL	1	2010-08-23 00:00:00	1	1	1	0	NULL	NULL	2018-08-21 12:31:20
14	1	4	2	2011	1	0	2011-02-14 00:00:00	NULL	1	2011-02-14 00:00:00	1	1	1	0	NULL	NULL	2018-08-21 13:06:40
15	1	5	1	2012	1	0	2011-10-04 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-19 23:21:17
16	1	5	2	2012	1	0	2012-01-19 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-20 13:35:11
17	1	6	2	2013	1	0	2012-07-11 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-19 22:39:41
18	1	6	1	2013	1	0	2012-05-31 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-19 22:30:08
19	1	7	1	2014	1	0	2013-01-02 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-19 20:59:16
20	1	7	2	2014	1	0	2013-04-19 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-19 21:54:21
21	1	8	1	2015	1	0	2014-04-10 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-19 19:56:12
22	1	9	1	2015	1	0	2014-04-21 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-19 18:39:22
23	1	8	2	2015	1	0	2014-11-16 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-19 19:21:02
24	1	9	2	2015	1	0	2014-11-16 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-19 17:55:12
25	1	10	1	2016	1	0	2014-12-28 00:00:00	NULL	1	2015-01-05 00:00:00	1	1	1	0	NULL	NULL	2018-08-19 17:21:12
26	1	11	1	2016	1	0	2015-07-02 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-16 21:51:01
27	1	10	2	2016	1	0	2015-09-09 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-16 22:13:42
28	1	11	2	2016	1	0	2015-11-15 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-16 21:18:42
29	1	12	1	2017	1	0	2016-03-06 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-16 20:43:19
30	1	13	1	2017	1	0	2016-07-25 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-16 14:02:12
31	1	12	2	2017	1	0	2016-12-05 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-16 14:31:03
32	1	13	2	2017	1	0	2017-03-06 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-16 10:53:05
33	1	14	1	2018	1	0	2017-03-21 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-15 19:47:49
34	1	14	2	2018	1	0	2017-09-04 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-08-21 22:10:55
35	1	15	1	2018	1	0	2017-11-02 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-09-11 21:01:38
36	1	15	2	2018	1	0	2018-06-20 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2018-11-14 14:34:42
37	1	16	1	2019	1	0	2018-08-21 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2019-01-06 17:27:27
38	1	16	2	2019	1	0	2019-01-06 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2019-06-03 07:53:03
39	1	17	1	2019	1	0	2019-06-03 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2019-07-30 12:55:01
40	1	17	2	2019	1	0	2019-07-30 00:00:00	NULL	1	NULL	1	1	1	0	NULL	NULL	2019-11-09 21:47:54
41	1	18	1	2020	1	0	2019-11-09 00:00:00	2020-10-20 09:56:22	1	NULL	1	1	1	0	NULL	NULL	2020-10-20 09:56:22
42	1	18	2	2020	1	0	2020-02-19 00:00:00	2020-10-26 14:46:50	1	NULL	1	1	1	0	NULL	NULL	2020-11-02 13:29:32
43	1	0	0	0	1	0	2020-02-19 00:00:00	NULL	1	NULL	0	0	0	1	NULL	NULL	2020-02-19 17:15:05
44	1	19	1	2020	1	0	2020-10-20 00:00:00	2020-11-21 17:36:30	1	NULL	1	1	1	0	NULL	NULL	2020-11-21 17:36:30
