id,aid
10,11
13,750
20,625
43,683
51,664
35,688
15,161
24,312
17,49
81,368
81,442
26,148
26,169
26,640
11,667
25,592
91,647
91,754
31,64
80,560
80,598
49,474
49,668
49,724
79,475
79,293
69,49
69,239
69,383
50,418
50,648
50,288
88,239
72,69
72,95
72,333
72,444
72,443
72,566
93,669
75,368
75,429
75,442
75,461
68,553
68,789
70,154
37,599
103,224
77,65
77,252
46,40
46,360
109,483
109,564
109,664
21,474
102,380
102,623
52,553
98,401
98,451
114,252
114,286
92,497
115,625
104,521
104,260
104,386
104,334
104,665
113,547
113,781
95,518
95,547
95,553
95,560
100,602
108,630
108,631
116,461
101,17
101,96
101,133
44,470
110,559
110,329
110,237
40,123
146,517
146,575
135,229
135,230
111,329
111,559
111,237
174,11
174,523
174,776
175,11
175,64
175,204
176,801
112,146
112,325
112,474
112,514
148,215
148,655
125,737
125,185
126,49
126,81
107,131
107,380
156,251
156,406
120,154
178,5
178,728
178,746
73,726
73,553
119,336
119,536
119,582
119,753
119,807
191,336
191,536
192,109
192,705
193,703
193,743
194,365
194,585
159,641
159,642
159,700
195,172
195,622
196,103
196,421
197,674
197,693
198,355
198,671
199,188
199,500
199,605
200,403
200,541
131,279
131,424
129,122
129,305
129,321
127,110
127,706
157,358
157,499
122,610
130,311
133,677
132,450
132,214
124,297
124,648
121,493
121,558
177,368
177,442
177,482
177,483
177,663
173,21
173,108
173,652
145,163
145,499
180,298
180,192
180,553
249,518
249,540
249,553
249,706
162,186
166,559
166,329
166,237
168,245
245,190
245,291
179,283
207,120
207,482
207,483
213,648
213,742
172,260
172,521
172,665
216,525
216,601
182,688
206,552
212,64
212,107
212,132
212,435
228,122
231,230
231,448
202,710
201,384
201,431
235,137
250,341
250,560
250,652
219,205
219,748
248,145
248,308
248,387
248,564
291,17
251,311
251,418
251,648
217,237
286,556
286,696
240,169
246,619
282,462
183,540
189,475
189,540
189,747
204,255
204,277
204,380
243,320
237,129
237,377
237,228
244,35
244,95
244,488
244,676
256,282
203,139
203,277
203,516
203,623
295,164
295,310
295,370
295,499
295,651
271,20
271,125
271,344
271,667
118,474
170,135
170,141
170,494
170,632
170,744
170,755
170,192
170,130
170,147
165,140
165,374
222,517
222,369
273,579
275,625
275,134
275,62
275,192
275,549
306,175
306,126
309,339
309,602
328,267
299,322
299,617
299,630
335,278
335,313
335,409
335,665
335,769
310,154
310,664
247,627
247,726
247,89
247,519
247,228
255,352
255,717
258,22
262,300
262,349
262,489
262,688
259,136
289,44
289,246
289,504
289,526
276,732
276,164
276,396
181,77
181,131
181,380
263,326
263,384
280,206
280,482
226,260
226,386
226,665
229,701
269,179
269,25
288,248
288,668
270,205
294,461
334,118
334,286
334,382
190,729
190,214
297,796
297,402
311,560
311,749
313,226
313,652
302,343
302,358
287,489
287,606
287,688
214,347
214,454
357,117
304,105
304,189
304,421
359,205
359,553
392,478
373,562
508,692
508,756
346,47
346,49
456,239
366,237
391,229
391,230
391,231
381,559
381,329
381,237
312,758
312,794
386,156
386,242
386,369
386,509
330,482
492,716
509,17
527,32
527,648
554,109
554,117
521,429
521,560
521,628
521,663
332,208
332,664
419,223
341,149
341,652
356,24
356,356
356,499
356,651
450,317
362,155
362,358
362,461
220,66
220,410
220,464
220,626
513,429
513,553
513,806
241,57
241,673
406,162
406,469
432,22
432,681
432,546
432,690
499,669
499,243
499,581
420,168
420,728
559,560
559,664
559,716
557,109
557,560
557,663
534,375
534,471
534,614
537,332
537,594
626,271
626,499
626,651
626,734
329,183
315,52
315,155
315,483
320,252
320,286
540,438
541,138
455,111
455,380
352,798
390,177
390,789
459,71
459,373
459,661
459,708
467,298
467,473
478,49
478,468
486,230
486,448
486,666
491,520
491,636
491,765
518,82
518,335
518,561
520,260
520,286
520,367
458,273
458,362
458,143
665,17
665,154
403,797
403,395
428,220
430,713
438,576
451,85
451,456
576,414
576,548
576,652
661,37
661,669
667,790
415,160
415,235
415,381
415,447
706,399
706,407
706,702
496,266
516,414
516,652
581,7
581,708
528,662
528,751
528,789
494,281
494,689
502,467
502,741
564,736
566,491
566,735
584,18
584,257
584,618
584,621
584,708
587,312
591,264
591,477
591,538
593,656
561,93
561,517
715,55
715,118
715,286
715,382
715,710
810,565
810,43
600,53
600,68
600,340
609,122
616,394
616,799
642,57
642,550
670,429
670,562
676,97
676,505
436,200
436,330
436,694
644,432
644,150
644,537
644,721
733,394
733,417
781,308
781,687
747,560
747,48
617,672
650,450
650,452
657,67
657,187
703,27
703,607
751,318
751,551
751,757
790,398
809,531
887,115
887,440
544,111
544,380
699,562
859,193
859,292
859,427
770,17
770,73
770,269
770,425
770,616
550,450
550,452
771,282
771,368
771,482
771,483
545,310
787,672
787,295
639,181
639,201
639,625
538,237
538,433
538,706
538,730
918,211
918,333
851,161
851,809
801,635
801,25
673,144
673,391
673,658
882,46
882,161
882,196
749,510
795,341
795,652
795,690
560,764
560,802
560,164
552,680
758,342
722,265
722,481
722,513
722,639
687,197
687,363
864,647
864,675
957,26
957,548
957,652
978,213
978,407
978,463
978,702
921,61
921,553
780,274
780,415
780,731
915,285
915,466
844,24
844,56
844,222
834,21
834,321
834,652
705,198
937,49
937,296
937,715
757,121
943,544
832,15
832,16
832,457
909,225
909,318
909,551
838,171
838,182
838,209
838,498
1046,282
1046,368
1046,442
935,4
935,507
848,34
848,524
792,72
792,551
805,359
1025,210
1030,625
1030,181
845,106
845,113
1021,669
