author,aid
"​, ​",1
"Abbas, Wasim",2
"Abyazi Sani, Roya",3
"Adachi, Saori",4
"Addona, Vittorio",5
"Ahanjideh, Milad",6
"Akama, Yohji",7
"Al-bar, Jehan A.",8
"Al-kenani, Ahmad N.",9
"Alavi, Seyed Hassan",10
"Albertson, Michael O.",11
"Ali, Didar A.",12
"Alishahi, Meysam",13
"Allagan, Julian D.",14
"Allombert, Bill",15
"Allouche, Jean-Paul Simon",16
"Alspach, Brian",17
"Althöfer, Ingo",18
"Amarra, Carmen",19
"Anđelić, Milica",20
"Andova, Vesna",21
"Anholcer, Marcin",22
"Araujo-Pardo, Gabriela",23
"Archdeacon, Dan",24
"Ashrafi, Ali Reza",25
"Atanasov, Risto",26
"Avelino, Catarina",27
"Avelino, Catarina P.",28
"Avesani, Maddalena",29
"Azarija, Jernej",30
"Bacelo, Adrián",31
"Bachratý, Martin",32
"Badaoui, Mohamad",33
"Balachandran, Niranjan",34
"Balakrishnan, Kannan",35
"Ballantine, Cristina",36
"Baltić, Vladimir",37
"Barát, János",38
"Barnabei, Marilena",39
"Bartha, Miklós",40
"Bartoli, Daniele",41
"Bašić, Nino",42
"Batagelj, Vladimir",43
"Baumeister, Barbara",44
"Beardon, Alan F.",45
"Behmaram, Afshin",46
"Berardinelli, Angela",47
"Berčič, Katja",48
"Berman, Leah Wrenn",49
"Bevan, David",50
"Beveridge, Andrew",51
"Bhoumik, Soumya",52
"Blecher, Aubrey",53
"Bogdanović, Milena",54
"Boiko, Tetiana",55
"Bokal, Drago",56
"Bokowski, Jürgen",57
"Bonetta-Martin, Kyle",58
"Bonetti, Flavio",59
"Bonisoli, Arrigo",60
"Bonvicini, Simona",61
"Borg, Martha",62
"Bosek, Bartłomiej",63
"Boutin, Debra L.",64
"Bradshaw, Zachary",65
"Brankovic, Ljiljana",66
"Breda d'Azevedo, Antonio",67
"Brennan, Charlotte",68
"Brešar, Boštjan",69
"Bretto, Alain",70
"Brinkmann, Gunnar",71
"Broere, Izak",72
"Bryant, Darryn",73
"Bucher, Eric",74
"Budden, Mark",75
"Budrevich, Mikhail",76
"Buekenhout, Francis",77
"Bujtás, Csilla",78
"Buratti, Marco",79
"Burgess, Andrea C.",80
"Burtt, Nadine Alise",81
"Cafuta, Kristijan",82
"Cai, Tommy Wuxing",83
"Cai, Yiqing",84
"Cairns, Grant",85
"Can, Mahir Bilen",86
"Casacuberta, Sílvia",87
"Castronuovo, Niccolò",88
"Cataldo, Franco",89
"Cavaleri, Matteo",90
"Cavenagh, Nicholas J.",91
"Cavers, Michael",92
"Cergol, Boris",93
"Chaiken, Seth",94
"Changat, Manoj",95
"Chen, C. C.",96
"Chen, Fuyuan",97
"Chen, Hanlin",98
"Chen, Yichao",99
"Chen, Yue",100
"Cherniavsky, Yonah",101
"Chiarelli, Nina",102
"Choo, Kelly",103
"Cichacz, Sylwia",104
"Clarke, Nancy E.",105
"Clemente, Gian Paolo",106
"Cockburn, Sally",107
"Cohen, Nathann",108
"Conder, Marston",109
"Conder, Marston D. E.",110
"Connor, Thomas",111
"Coolsaet, Kris",112
"Cornaro, Alessandra",113
"Costa, Simone",114
"Craizer, Marcos",115
"Csajbók, Bence",116
"Cunningham, Gabe",117
"Cuno, Johannes",118
"Cuntz, Michael Joachim",119
"Curran, Stephen J.",120
"Cvetko-Vah, Karin",121
"Czap, Július",122
"d'Azevedo, Antonio Breda",123
"da Cruz, Henrique F.",124
"da Fonseca, C. M.",125
"da Fonseca, Carlos M.",126
"Daneshkhah, Ashraf",127
"Danziger, Peter",128
"Das, Kinkar Ch.",129
"de La Vaissiere, Benoit",130
"De Saedeleer, Julie",131
"Dean, Alice M.",132
"Dean, Matthew",133
"Debono, Mark",134
"Debroni, Sean",135
"Decelle, Sophie",136
"Dejter, Ítalo José",137
"del Río Francos, María",138
"Del Río Francos, María",139
"DeLaViña, Ermelinda",140
"Delisle, Erin",141
"Delizia, Costantino",142
"Deng, Hanyuan",143
"Deng, Shibing",144
"Devillers, Alice",145
"DeVoss, Matt",146
"Deza, Michel",147
"Deza, Michel Marie",148
"Dimitrov, Darko",149
"DiNatale, Joseph",150
"Ding, Suyun",151
"Dinitz, Jeffery H.",152
"Dinitz, Jeffrey H.",153
"Dobson, Edward",154
"Dobson, Ted",155
"Dolinar, Gregor",156
"Domokos, Gábor",157
"Dong, Zhao",158
"Donno, Alfredo",159
"Donovan, Diane M.",160
"Došlić, Tomislav",161
"Drach, Kostiantyn",162
"Drmota, Michael",163
"Du, Shaofei",164
"Duan, Fang",165
"Dubickas, Artūras",166
"Dukes, Peter J.",167
"Dupuis, Michael",168
"Dutour Sikirić, Mathieu",169
"El Kaoutit, Laiachi",170
"Ellahi, Hamid Reza",171
"Ellingham, M. N.",172
"Ellison, David",173
"Ens, Eric",174
"Erić, Aleksandra",175
"Erskine, Grahame",176
"Erveš, Rija",177
"Estaji, Ehsan",178
"Faghani, Morteza",179
"Fan, Wen Wen",180
"Farrugia, Alexander",181
"Fath-Tabar, Gholam Hossein",182
"Fehribach, Joseph D.",183
"Feng, Lihua",184
"Feng, Yan-Quan",185
"Feretić, Svjetlan",186
"Fernandes, Maria Elisa",187
"Fijavž, Gašper",188
"Finbow, Stephen",189
"Fisher, Michael J.",190
"Fonda, Alessandro",191
"Fowler, Patrick W.",192
"Franchi, Clara",193
"Fraser, Jay",194
"Frelih, Boštjan",195
"Friedland, Shmuel",196
"Furmanczyk, Hanna",197
"Gajser, David",198
"Garcı́a-Garcı́a, Juan Ignacio",199
"Gastineau, Nicolas",200
"Gauci, John Baptist",201
"Gaudreau, Robin",202
"Gerbner, Dániel",203
"Gethner, Ellen",204
"Gévay, Gábor",205
"Ghaderpour, Ebrahim",206
"Ghanbari-Maman, Leila",207
"Ghasemi, Mohsen",208
"Gholami, Ahmad",209
"Ghorbani, Ebrahim",210
"Ghorbani, Modjtaba",211
"Gillespie, Neil I.",212
"Gionfriddo, Mario",213
"Giorgetti, Alain",214
"Giudici, Michael",215
"Glasby, Stephen P.",216
"Godsil, Chris",217
"Goedgebeur, Jan",218
"Goetschalckx, Pieter",219
"Goff, Michael",220
"Goldstein, Avraham",221
"Gologranc, Tanja",222
"González Yero, Ismael",223
"Gopalapillai, Indulal",224
"Gorzkowska, Aleksandra",225
"Govorčin, Jelena",226
"Grannell, Michael J.",227
"Graovac, Ante",228
"Graver, Jack E.",229
"Graves, Christina M.",230
"Graves, Stephen J.",231
"Gravier, Sylvain",232
"Grech, Mariusz",233
"Green, Richard M.",234
"Griggs, Terry S.",235
"Grošelj, Jan",236
"Gross, Jonathan L.",237
"Grujić, Vladimir",238
"Grünbaum, Branko",239
"Grytczuk, Jarosław",240
"Guo, Xia",241
"Guterman, Alexander",242
"Gutman, Ivan",243
"Győrffy, Lajos",244
"Haas, Ruth",245
"Haase, Christian",246
"Haemers, Willem H.",247
"Hägglund, Jonas",248
"Haidamaka, Yurii",249
"Hakobyan, Anush",250
"Hammack, Richard",251
"Hammack, Richard H.",252
"Hanusa, Christopher R. H.",253
"Hao, Rong-Xia",254
"Hartley, Michael Ian",255
"Hartnell, Bert L.",256
"Haugland, Jan Kristian",257
"Hawtin, Daniel R.",258
"Héger, Tamás",259
"Hellmuth, Marc",260
"Hemelaer, Jens",261
"Henning, Michael A.",262
"Hernandez Lucas, Lisa",263
"Hernando, Carmen",264
"Hibi, Takayuki",265
"Hidalgo, Ruben A.",266
"Hidalgo, Rubén A.",267
"Hirasaka, Mitsugu",268
"Horsley, Daniel",269
"Hou, Jianfeng",270
"Hu, Kan",271
"Hu, Siwei",272
"Huang, Guihua",273
"Huang, Li-Ping",274
"Huang, Qiongxiang",275
"Huang, Xueyi",276
"Hubard, Isabel",277
"Hubička, Jan",278
"Hudák, Dávid",279
"Hudák, Peter",280
"Huggett, Stephen",281
"Hujdurović, Ademir",282
"Hutchinson, Joan P.",283
"Ikica, Barbara",284
"Ilić, Aleksandar",285
"Imrich, Wilfried",286
"Inácio, Ilda",287
"Ipolyiová, Mária",288
"Iranmanesh, Ali",289
"Iršič, Vesna",290
"Isaak, Garth",291
"Ivanov, Alexander A.",292
"Ivić Weiss, Asia",293
"Iwasaki, Kaoruko",294
"Izquierdo, Milagros",295
"Jacksch, Elliott",296
"Jajcay, Robert",297
"Jaklič, Gašper",298
"Jakovac, Marko",299
"Jang, Hye Jin",300
"Janicová, Mária",301
"Jarnicki, Witold",302
"Jazaeri, Mojtaba",303
"Jeans, Olivia",304
"Jendroľ, Stanislav",305
"Jezernik Širca, Špela",306
"Jezernik, Urban",307
"Jin, Wei",308
"Jin, Xian'an",309
"Jones, Gareth",310
"Jones, Gareth A.",311
"Jones, Gareth Aneurin",312
"Jost, Jürgen",313
"Jovanović, Irena M.",314
"Jovović, Ivana",315
"Joyce, Michael",316
"Kainen, Paul C.",317
"Kalinowski, Rafał",318
"Kalliongis, John",319
"Kalmanovich, Daniel",320
"Kardoš, František",321
"Karpenkov, Oleg",322
"Kaszanitzky, Viktória E.",323
"‎Kavousi, Kaveh",324
"Kawarabayashi, Ken-ichi",325
"Kempner, Yulia",326
"Keranen, Melissa S.",327
"Keszegh, Balázs",328
"Khan, Imran F.",329
