kid,kid2,keyword,normalized
1,1, (im)primitive group, (im)primitive group
2,2, alternating group, alternating group
3,3, arc-transitive graph, arc-transitive graph
4,4, area generating function, area generating function
5,5, cage, cage
6,6, Cartesian product, cartesian product
7,7, commutator subgroup, commutator subgroup
8,8, convex subgraph, convex subgraph
9,9, cube polynomial, cube polynomial
10,10, degree, degree
11,11," dessin d'enfant, hypermap"," dessin d'enfant, hypermap"
12,12, Distance energy, distance energy
13,13, duality, duality
14,14, edge coloring, edge coloring
15,15, edge-amalgamation, edge-amalgamation
16,16, epimorphism, epimorphism
17,17, equivelar polytope, equivelar polytope
18,18, facial walk, facial walk
19,19, Finite Geometries, finite geometry
20,20, flat polytope, flat polytope
21,21, Frobenius groups, frobenius group
22,22, generalized Petersen graph, generalized petersen graph
23,23, generators, generator
24,24, genus distribution, genus distribution
25,25, girth, girth
26,26, graph algorithms, graph algorithm
27,27, graph polynomials, graph polynomial
28,28, half-arc-transitive graph, half-arc-transitive graph
29,29, Hamilton cycle, hamilton cycle
30,30, Hamilton path, hamilton path
31,31, hamiltonian cycle, hamiltonian cycle
32,32, hexagonal-celled, hexagonal-celled
33,33, injectivity radius, injectivity radius
34,34, internal and external active edges, internal and external active edge
35,35, isometric subgraph, isometric subgraph
36,36, Join, join
37,37," Kekul\\'e structure, perfect matching, distributive lattice, median graph"," kekul\\'e structure, perfect matching, distributive lattice, median graph"
38,38, linear programming duality, linear programming duality
39,39, Livingstone--Wagner Theorem, livingstone--wagner theorem
40,40, mixing, mixing
41,41, nearly convex column, nearly convex column
42,42, network models, network model
43,43, nilpotent group, nilpotent group
44,44, NMDS-Code, nmds-code
45,45, Paralell Backtracking search with isomorph rejection., paralell backtracking search with isomorph rejection.
46,46, partial cubes, partial cube
47,47, planar width, planar width
48,48, primitive groups, primitive group
49,49, Regular graphs., regular graphs.
50,50, regular hypermap, regular hypermap
51,51, semi-directed, semi-directed
52,52, semiregular group, semiregular group
53,53, Spectrum, spectrum
54,54, strongy distance-balanced, strongy distance-balanced
55,55, Symmetric Designs, symmetric design
56,56, symmetric group, symmetric group
57,57, Tranisitvity, tranisitvity
58,58, Tutte polynomial, tutte polynomial
59,59, weak discrepancy, weak discrepancy
60,60,(19_4)-configurations,(19_4)-configuration
61,61,"(n,3)-configuration, geometric configuration, anti-Pappian, rational coordinatization, elliptic curve","(n,3)-configuration, geometric configuration, anti-pappian, rational coordinatization, elliptic curve"
62,62,"(Rooted) near-4-regular map, separating cycle, Lagrangian inversion, enumerating function, asymptotic","(rooted) near-4-regular map, separating cycle, lagrangian inversion, enumerating function, asymptotic"
63,63,"05C15, 05C25, 05C38, 90B10","05c15, 05c25, 05c38, 90b10"
64,64,"1-planar graph, light graph","1-planar graph, light graph"
65,65,"1-planar graph, lightness, cycle, discharging","1-planar graph, lightness, cycle, discharging"
66,66,"2-design, automorphism group, primitivity, flag-transitivity.","2-design, automorphism group, primitivity, flag-transitivity."
67,67,"2-Distance-transitive graph, 2-arc-transitive graph, permutation group.","2-distance-transitive graph, 2-arc-transitive graph, permutation group."
