id,kid
10,151
13,310
20,90
43,296
51,492
35,274
35,53
15,592
24,359
17,168
81,585
81,3
81,28
81,29
81,30
81,52
81,1
26,181
11,88
25,596
91,130
91,11
31,316
80,445
49,299
79,77
69,93
50,572
50,16
50,33
50,50
50,47
88,110
72,569
93,209
93,12
93,36
93,49
75,286
75,54
75,22
68,399
70,434
37,517
103,210
77,293
46,596
109,530
21,184
102,76
52,239
98,178
114,288
92,444
92,57
92,39
115,91
104,191
113,364
95,394
100,241
108,165
116,229
101,98
44,112
110,277
110,24
110,15
40,340
146,481
135,267
111,321
174,295
175,480
176,150
112,365
148,529
125,136
126,596
107,472
156,287
120,131
178,382
73,254
119,164
191,102
192,221
193,459
194,185
159,439
159,59
159,26
159,42
159,38
195,160
196,292
197,401
198,85
199,451
200,224
131,64
129,457
127,596
157,192
122,196
130,349
133,378
132,247
124,585
124,5
124,10
124,25
121,473
121,21
177,140
173,260
145,328
180,353
249,238
162,466
162,32
162,41
162,51
162,4
166,320
168,291
245,596
179,303
207,137
213,453
172,190
216,60
216,55
216,19
216,44
216,45
182,274
182,53
206,360
206,13
206,48
206,2
206,56
206,23
212,283
228,454
228,18
228,14
231,268
202,335
201,407
235,213
250,590
219,248
248,384
291,344
251,487
217,278
286,253
240,395
246,233
282,588
183,147
189,78
204,75
243,101
237,319
244,460
256,106
203,232
295,486
271,228
118,323
170,367
165,183
222,400
273,170
275,92
306,330
309,373
328,194
299,551
335,276
310,152
247,308
255,435
258,469
262,355
259,418
289,447
276,446
181,471
263,100
280,130
280,31
280,43
280,7
226,189
226,8
226,35
226,6
226,46
229,516
229,34
229,58
229,27
269,549
288,449
270,519
294,201
334,219
190,240
297,65
311,312
313,175
302,302
287,354
214,63
357,79
357,17
357,20
357,40
304,475
359,582
392,580
373,180
508,576
346,169
456,513
366,279
391,270
381,280
312,214
386,158
330,138
492,105
509,343
527,329
554,80
521,129
332,431
419,227
341,554
356,406
450,499
362,501
220,99
513,179
241,461
406,412
432,208
499,520
420,345
559,315
557,317
534,333
537,300
626,484
329,377
315,153
320,305
540,391
541,393
455,163
352,536
390,414
459,452
467,318
478,172
486,269
491,222
518,534
520,126
458,252
665,573
403,413
428,161
430,157
438,262
451,324
576,231
661,251
667,494
415,120
706,409
496,496
516,370
581,524
528,290
494,244
502,307
564,528
566,162
584,455
587,146
591,226
593,139
561,526
715,336
810,550
600,116
609,456
616,371
642,470
670,95
676,372
436,436
644,561
733,595
781,67
747,314
617,167
650,326
657,361
703,204
751,564
790,497
809,182
887,107
544,488
699,96
859,392
770,430
550,327
771,132
545,490
787,575
639,426
538,563
918,416
851,402
801,417
673,589
882,442
749,242
795,294
560,103
552,477
758,256
722,259
687,177
864,489
957,532
978,97
921,275
780,338
915,258
844,271
834,264
705,508
937,169
757,514
943,398
832,250
909,235
838,512
1046,331
935,553
848,216
792,218
805,464
1025,427
1030,428
845,334
1021,243
1000,266
1000,9
1000,37
876,366
905,249
746,304
769,155
813,527
823,557
825,115
879,583
682,200
856,306
847,347
896,380
976,441
783,368
863,144
1077,521
949,420
788,507
1055,145
461,123
1056,503
1083,357
1142,237
1146,547
1129,523
1121,350
998,525
765,415
891,225
1020,544
1141,522
1060,476
1117,594
1132,332
1044,348
981,234
969,193
1013,207
910,176
1118,369
1202,195
1163,113
964,135
1088,346
1092,458
973,389
1226,87
1022,502
1015,220
1100,383
1283,125
1054,74
1339,202
1332,143
1143,230
1109,474
831,570
996,533
1402,108
1348,94
1298,423
1165,66
992,297
1193,82
1176,363
1285,578
953,171
862,255
1349,559
1236,450
1486,515
1240,70
982,109
911,199
1172,567
938,111
1007,311
1376,591
1439,424
1098,86
1161,543
1043,482
1319,493
1382,419
1107,205
1598,596
1327,548
1414,128
1059,61
1218,342
1296,149
1341,539
1279,404
1419,337
1115,246
939,301
806,83
989,156
1470,560
1459,498
1223,556
1228,121
1282,379
1345,273
1537,133
1297,593
1467,166
1488,555
1355,518
1281,411
1359,265
1409,542
1316,381
1062,545
1547,385
1291,405
1546,84
1333,104
1350,468
1317,433
1490,73
1460,429
997,491
1017,71
1378,565
1406,425
1437,119
1664,571
1591,257
1619,206
1601,186
1164,467
1436,387
1427,374
1485,358
1525,566
1765,579
1749,485
1704,438
1401,203
1679,448
1699,432
1477,197
1330,174
1475,142
1657,421
793,159
1651,386
1681,577
1605,509
1842,596
1800,298
1496,215
1733,325
1426,69
1508,403
1498,198
1740,511
1528,437
1526,568
1517,443
1195,478
1559,531
1964,134
1695,538
1560,552
1901,127
1782,440
1953,81
1435,217
1516,173
1684,322
1817,352
1937,245
1881,341
1758,188
1917,463
1925,285
1892,376
1725,281
1825,397
1763,506
1610,68
1884,339
1581,356
1866,388
1801,118
1891,540
1921,541
1474,495
1813,72
1815,313
2079,289
1933,89
1936,537
1748,483
2006,562
1907,117
1894,105
1931,309
2239,148
1957,272
1998,558
1793,535
2161,510
2019,505
1849,584
1950,408
2039,236
2110,351
1615,62
1900,124
1869,396
2120,465
2193,212
2025,587
2219,422
2106,223
2163,586
2301,141
1685,282
2028,390
1852,546
1860,187
2033,479
2262,362
641,410
2034,114
2022,500
2096,211
1959,581
2122,574
2137,504
2103,122
2348,375
1851,263
2128,154
2374,284
2125,462
2286,261
