id,scid
10,31
10,29
13,36
13,169
20,44
20,20
20,63
20,314
43,29
43,49
51,84
51,85
35,44
15,30
15,63
24,29
24,156
17,242
17,245
81,36
81,142
26,168
11,44
11,290
25,320
91,169
91,36
91,52
91,190
31,31
31,36
80,138
49,29
49,31
79,36
79,223
69,242
69,245
50,29
50,36
50,52
50,76
50,149
88,222
72,30
72,49
72,79
93,44
75,28
75,30
68,32
68,63
70,139
70,142
37,40
37,62
103,30
103,44
77,40
46,54
109,36
21,29
102,223
102,142
52,37
98,255
98,165
98,9
98,111
114,62
114,64
92,141
92,145
115,44
115,48
115,20
104,29
113,9
113,37
95,37
95,29
100,44
100,123
108,22
116,73
116,75
101,36
101,54
44,75
44,146
110,29
40,31
40,29
40,187
146,126
146,202
135,29
135,55
135,314
111,29
174,30
174,54
175,31
175,42
175,29
176,31
112,39
112,61
148,75
125,36
125,142
126,218
126,22
107,216
156,56
156,64
120,36
178,271
178,196
178,201
73,39
73,40
119,77
119,75
191,75
191,20
191,142
191,73
192,73
192,29
192,138
193,29
193,43
193,31
194,40
194,43
194,54
159,78
195,36
195,52
195,142
196,31
196,7
197,241
197,23
197,52
197,289
198,31
198,39
199,31
199,29
200,53
131,29
129,29
129,31
127,320
157,320
122,29
122,187
122,18
122,21
122,213
122,209
130,142
133,261
133,29
133,175
132,37
132,263
132,174
124,39
121,75
121,142
177,36
177,43
173,27
173,28
173,63
145,37
145,10
180,123
180,44
180,63
249,25
249,30
249,239
162,26
162,9
166,29
168,31
245,320
179,31
207,270
207,43
213,36
213,29
213,51
172,29
216,21
216,118
216,279
216,285
216,315
182,44
206,29
206,36
206,140
206,145
206,162
212,49
228,29
228,31
231,29
231,55
231,314
202,54
202,104
202,181
201,53
201,54
235,49
235,22
235,33
235,40
250,30
219,233
219,236
248,73
248,142
291,54
251,29
251,36
251,172
217,29
286,5
286,59
286,33
240,29
240,258
246,31
246,39
282,53
282,286
183,320
189,223
189,36
204,233
204,169
243,75
243,20
243,73
237,41
237,63
244,64
244,30
244,302
256,31
256,29
203,223
203,31
295,154
295,29
295,162
271,44
118,29
118,60
170,53
170,62
170,29
165,53
222,183
222,127
222,170
273,22
273,218
273,40
275,44
275,39
275,48
275,20
275,314
275,295
306,123
306,44
309,36
309,44
328,97
328,112
328,187
299,242
299,29
335,48
335,56
310,31
310,29
247,30
247,314
255,54
255,62
258,27
258,31
258,57
262,44
262,56
259,320
289,145
289,232
289,71
289,229
289,234
276,73
276,142
181,216
181,36
263,23
280,36
280,43
226,31
226,29
229,37
269,30
288,31
288,34
288,54
270,207
270,208
270,218
270,233
294,33
294,40
294,73
334,36
334,51
334,31
334,4
190,37
190,9
297,55
297,29
311,142
311,73
313,41
313,56
302,142
302,36
302,48
287,44
287,55
214,320
357,223
357,233
357,36
304,47
304,307
359,22
359,207
359,230
359,242
392,163
392,166
392,105
373,44
373,73
373,146
373,142
373,179
373,255
508,79
508,71
508,135
346,22
346,218
456,222
366,31
391,29
391,55
391,314
381,29
312,30
312,39
386,41
386,125
386,120
330,36
330,43
492,142
492,73
509,36
509,54
527,36
554,223
554,233
554,73
521,33
521,36
332,142
332,36
419,53
419,54
419,56
341,65
356,29
450,137
450,40
362,73
220,289
513,255
513,142
513,73
513,55
513,56
241,213
241,242
241,22
406,233
406,223
406,240
432,31
432,35
432,36
432,56
499,44
420,43
420,62
559,73
559,142
557,73
557,142
534,36
534,33
534,56
537,54
537,215
626,142
626,29
329,33
329,44
329,63
315,36
315,73
320,62
320,55
320,30
540,65
540,33
540,36
540,44
540,75
541,233
541,29
541,257
541,223
541,230
455,146
455,158
352,41
352,56
390,30
390,41
390,283
390,284
390,289
459,29
459,37
459,55
467,123
467,44
467,30
478,22
478,218
478,48
486,29
486,55
486,314
491,53
491,39
518,108
518,303
518,83
518,96
518,305
520,31
520,29
458,30
458,58
458,63
458,69
665,36
403,121
403,228
428,36
428,52
428,142
430,138
438,66
438,287
451,28
576,31
661,9
661,7
661,88
661,122
667,309
415,17
415,29
706,17
496,188
496,187
496,119
496,113
496,110
516,29
516,31
581,25
581,29
581,223
581,239
528,31
528,62
528,293
528,289
494,29
494,259
502,44
502,36
564,29
566,87
566,9
566,177
566,101
584,29
584,55
587,29
587,73
587,114
587,142
587,147
587,187
587,189
591,39
591,53
593,36
561,313
561,319
715,54
715,104
715,181
715,62
810,312
810,134
810,300
810,289
600,9
600,10
609,29
609,31
616,34
616,36
642,242
670,44
670,62
670,73
670,146
670,142
670,179
670,255
670,292
676,34
676,41
436,31
436,51
436,54
644,25
644,239
644,252
644,31
733,41
781,73
781,21
747,73
747,142
617,22
617,217
617,118
650,256
650,261
657,73
657,72
657,142
657,36
657,37
703,239
703,25
703,229
751,31
751,73
790,29
790,157
790,256
809,168
809,30
887,225
887,226
887,247
887,248
544,73
544,230
544,152
699,44
699,73
699,146
699,142
699,179
699,255
859,152
859,148
859,75
859,136
770,54
770,45
770,22
550,44
550,123
550,267
771,36
545,142
545,9
545,29
545,73
545,176
545,255
787,22
787,25
787,114
787,118
787,187
787,191
787,217
639,63
639,20
538,9
538,14
538,29
918,30
918,314
851,37
851,54
801,147
801,154
673,44
673,123
882,37
882,54
882,122
749,38
749,44
795,30
795,27
795,33
795,314
560,36
560,142
560,75
552,29
758,213
758,218
722,229
722,37
687,31
687,29
864,29
864,89
864,173
957,31
978,16
921,43
921,36
921,31
921,56
921,54
921,254
921,48
780,48
780,205
780,209
780,208
915,53
915,36
844,269
844,257
834,30
834,63
834,314
834,317
